l,n_0,n_1,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_2,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_3,n_30,n_31,n_32,n_33,n_34,n_35,n_36,n_37,n_38,n_4,n_5,n_6,n_7,n_8,n_9
-1.0,1.0,3.0,2.0,1.0,7.0,1.0,0.0,8.0,2.0,14.35,10.4,1552.49,1.0,0.05,33.0,0.1,86.25,149.28,0.5,1.0,2.0,7.0,0.2,0.0,16.0,17.0,10.0,13.0,10.0,0.0,8.0,,,0.0,4.0,2.0,0.25,2.0,2.0
-1.0,7.0,3.0,2.0,1.0,7.0,1.0,0.0,13.0,1.0,21.63,18.0,7009.12,2.0,0.13,81.0,0.06,389.4,389.4,0.5,1.0,2.0,7.0,0.08,0.0,36.0,45.0,14.0,14.0,24.0,18.75,13.0,,,3.0,4.0,2.0,0.15,2.0,2.0
-1.0,5.0,9.0,1.0,0.2,16.0,5.0,1.0,15.0,0.0,26.32,13.68,4923.53,0.0,0.12,72.0,0.07,273.53,360.0,1.0,4.0,7.0,13.0,0.15,3.0,31.0,41.0,17.0,15.0,33.0,44.44,18.0,,,9.0,14.0,5.0,0.28,6.0,2.33
-1.0,2.0,20.0,5.0,0.45,42.0,11.0,1.0,24.0,3.0,21.89,36.88,29769.28,2.0,0.27,147.0,0.03,1653.85,807.3,1.0,8.0,14.0,33.0,0.39,0.0,59.0,88.0,20.0,25.0,28.0,4.0,24.0,,,1.0,28.0,11.0,0.46,12.0,2.33
-1.0,6.0,9.0,1.0,0.2,16.0,3.0,0.5,21.0,2.0,19.62,28.29,15698.57,0.0,0.19,111.0,0.04,872.14,555.0,0.6,4.0,7.0,13.0,0.15,1.0,44.0,67.0,14.0,18.0,33.0,19.23,22.0,,,4.0,14.0,5.0,0.23,6.0,2.33
-1.0,9.0,5.0,3.0,1.0,10.0,1.0,0.0,15.0,1.0,25.82,11.67,3513.94,2.0,0.1,62.0,0.09,195.22,301.19,0.33,2.0,4.0,9.0,0.12,0.0,25.0,37.0,15.0,14.0,26.0,6.25,15.0,,,1.0,8.0,3.0,0.2,4.0,2.0
-1.0,11.0,7.0,4.0,1.0,14.0,1.0,0.0,19.0,1.0,35.9,13.0,6067.94,2.0,0.16,91.0,0.08,337.11,466.76,0.25,3.0,6.0,12.0,0.13,0.0,39.0,52.0,21.0,14.0,31.0,0.0,19.0,,,0.0,12.0,4.0,0.21,6.0,2.0
-1.0,2.0,3.0,1.0,0.5,5.0,1.0,0.0,9.0,2.0,28.57,4.2,504.0,0.0,0.04,30.0,0.24,28.0,120.0,0.5,1.0,2.0,5.0,0.14,0.0,14.0,16.0,10.0,6.0,14.0,18.18,9.0,,,2.0,4.0,2.0,0.22,2.0,2.0
-1.0,5.0,11.0,1.0,0.14,24.0,1.0,0.0,20.0,3.0,17.47,39.33,27034.74,0.0,0.23,134.0,0.03,1501.93,687.32,0.14,3.0,6.0,19.0,0.15,0.0,59.0,75.0,15.0,20.0,46.0,50.0,20.0,,,20.0,12.0,7.0,0.35,6.0,2.0
-1.0,14.0,9.0,7.0,1.0,23.0,1.0,0.0,42.0,0.0,35.76,24.62,21677.08,7.0,0.29,156.0,0.04,1204.28,880.44,0.14,1.0,2.0,18.0,0.11,0.0,68.0,88.0,29.0,21.0,64.0,14.29,42.0,,,7.0,4.0,7.0,0.17,2.0,2.0
-1.0,5.0,7.0,2.0,0.5,13.0,3.0,0.67,12.0,2.0,23.58,15.75,5849.31,2.0,0.12,73.0,0.06,324.96,371.38,0.75,3.0,5.0,11.0,0.21,0.0,28.0,45.0,16.0,18.0,19.0,7.69,12.0,,,1.0,10.0,4.0,0.33,4.0,2.5
-1.0,32.0,39.0,7.0,0.35,74.0,15.0,0.74,80.0,3.0,52.36,40.4,85440.05,8.0,0.71,325.0,0.02,4746.67,2115.03,0.75,17.0,32.0,56.0,0.14,3.0,142.0,183.0,58.0,33.0,145.0,23.81,83.0,,,22.0,64.0,20.0,0.24,30.0,2.13
-1.0,1.0,15.0,5.0,0.63,29.0,5.0,0.57,18.0,0.0,26.75,22.92,14050.56,2.0,0.2,111.0,0.04,780.59,613.12,0.63,7.0,12.0,23.0,0.4,0.0,50.0,61.0,24.0,22.0,20.0,0.0,18.0,,,0.0,24.0,8.0,0.44,10.0,2.4
-1.0,8.0,11.0,5.0,0.71,18.0,4.0,0.5,22.0,0.0,32.24,15.65,7898.75,5.0,0.17,93.0,0.06,438.82,504.64,0.57,3.0,4.0,13.0,0.21,2.0,36.0,57.0,23.0,20.0,33.0,8.33,24.0,,,0.0,8.0,7.0,0.29,2.0,4.0
-1.0,2.0,3.0,1.0,0.5,6.0,1.0,0.0,10.0,0.0,45.89,6.79,2118.25,0.0,0.1,68.0,0.15,117.68,311.78,0.5,1.0,2.0,6.0,0.09,0.0,33.0,35.0,17.0,7.0,22.0,47.37,10.0,,,9.0,4.0,2.0,0.2,2.0,2.0
-1.0,2.0,21.0,3.0,0.27,47.0,6.0,0.5,28.0,0.0,25.12,32.0,25722.21,1.0,0.27,158.0,0.03,1429.01,803.82,0.55,10.0,20.0,38.0,0.3,2.0,72.0,86.0,18.0,16.0,37.0,17.65,30.0,,,4.0,40.0,11.0,0.37,20.0,2.0
-1.0,1.0,15.0,6.0,0.75,32.0,6.0,0.71,29.0,2.0,28.38,26.96,20624.52,3.0,0.26,141.0,0.04,1145.81,765.1,0.75,7.0,14.0,26.0,0.26,0.0,62.0,79.0,23.0,20.0,31.0,0.0,29.0,,,0.0,28.0,8.0,0.28,14.0,2.0
-1.0,37.0,48.0,1.0,0.04,93.0,13.0,0.46,116.0,4.0,111.77,28.44,90416.52,0.0,1.06,485.0,0.04,5023.14,3178.98,0.48,20.0,40.0,68.0,0.13,1.0,157.0,328.0,69.0,25.0,203.0,29.7,117.0,,,48.0,80.0,27.0,0.23,40.0,2.0
-1.0,1.0,9.0,1.0,0.2,18.0,5.0,1.0,11.0,0.0,8.42,20.4,3502.14,0.0,0.06,42.0,0.05,194.56,171.67,1.0,4.0,8.0,15.0,0.38,0.0,17.0,25.0,5.0,12.0,13.0,0.0,11.0,,,0.0,16.0,5.0,0.45,8.0,2.0
-1.0,4.0,25.0,13.0,1.0,72.0,11.0,0.83,43.0,0.0,93.54,12.79,15311.87,24.0,0.4,198.0,0.08,850.66,1196.79,0.85,12.0,22.0,61.0,0.21,5.0,87.0,111.0,51.0,15.0,63.0,25.86,48.0,,,10.0,44.0,13.0,0.27,20.0,2.2
-1.0,2.0,5.0,1.0,0.33,11.0,1.0,0.0,10.0,0.0,13.14,8.17,876.39,0.0,0.04,29.0,0.12,48.69,107.31,0.33,2.0,4.0,10.0,0.23,0.0,14.0,15.0,6.0,7.0,13.0,0.0,10.0,,,0.0,8.0,3.0,0.3,4.0,2.0
-1.0,15.0,21.0,3.0,0.27,48.0,5.0,0.4,62.0,0.0,44.17,19.55,16883.11,2.0,0.29,153.0,0.05,937.95,863.51,0.45,10.0,19.0,39.0,0.1,15.0,54.0,99.0,29.0,21.0,105.0,30.34,77.0,,,12.0,38.0,11.0,0.14,18.0,2.11
-1.0,0.0,3.0,1.0,0.5,6.0,1.0,0.0,6.0,1.0,5.18,15.0,1165.64,0.0,0.03,21.0,0.07,64.76,77.71,0.5,1.0,2.0,6.0,0.25,0.0,9.0,12.0,3.0,10.0,8.0,14.29,6.0,,,1.0,4.0,2.0,0.33,2.0,2.0
-1.0,2.0,11.0,3.0,0.5,18.0,6.0,1.0,26.0,0.0,70.03,10.63,7911.0,1.0,0.25,134.0,0.09,439.5,744.31,1.0,5.0,8.0,14.0,0.15,2.0,62.0,72.0,35.0,12.0,41.0,31.58,28.0,,,10.0,16.0,6.0,0.21,6.0,2.67
-1.0,12.0,55.0,15.0,0.44,123.0,17.0,0.48,87.0,2.0,59.99,53.33,170637.7,12.0,1.07,470.0,0.02,9479.87,3199.46,0.5,17.0,34.0,91.0,0.33,2.0,192.0,278.0,72.0,40.0,102.0,2.25,89.0,,,0.0,68.0,34.0,0.38,34.0,2.0
-1.0,1.0,5.0,3.0,1.0,11.0,1.0,0.0,8.0,0.0,22.33,6.0,803.88,3.0,0.04,31.0,0.17,44.66,133.98,0.33,2.0,4.0,10.0,0.3,0.0,12.0,19.0,10.0,10.0,10.0,0.0,8.0,,,0.0,8.0,3.0,0.38,4.0,2.0
-1.0,2.0,5.0,3.0,1.0,15.0,1.0,0.0,17.0,3.0,23.84,12.69,3840.79,5.0,0.1,66.0,0.08,213.38,302.61,0.33,2.0,4.0,14.0,0.15,0.0,30.0,36.0,13.0,11.0,20.0,0.0,17.0,,,0.0,8.0,3.0,0.18,4.0,2.0
-1.0,5.0,7.0,1.0,0.25,12.0,4.0,1.0,13.0,2.0,17.83,10.4,1928.85,0.0,0.06,41.0,0.1,107.16,185.47,1.0,3.0,5.0,10.0,0.21,0.0,16.0,25.0,10.0,13.0,19.0,0.0,13.0,,,0.0,10.0,4.0,0.31,4.0,2.5
-1.0,1.0,11.0,3.0,0.5,22.0,1.0,0.0,17.0,0.0,14.61,21.67,6860.09,2.0,0.11,71.0,0.05,381.12,316.62,0.17,5.0,10.0,18.0,0.32,0.0,30.0,41.0,9.0,13.0,19.0,0.0,17.0,,,0.0,20.0,6.0,0.35,10.0,2.0
-1.0,3.0,3.0,1.0,0.5,7.0,1.0,0.0,12.0,2.0,38.44,12.6,6102.12,1.0,0.16,91.0,0.08,339.01,484.3,0.5,1.0,2.0,7.0,0.13,0.0,42.0,49.0,25.0,15.0,16.0,0.0,12.0,,,0.0,4.0,2.0,0.17,2.0,2.0
-1.0,1.0,3.0,1.0,0.5,6.0,1.0,0.0,17.0,4.0,19.85,16.82,5614.18,0.0,0.11,76.0,0.06,311.9,333.82,0.5,1.0,2.0,6.0,0.11,0.0,37.0,39.0,11.0,10.0,19.0,0.0,17.0,,,0.0,4.0,2.0,0.12,2.0,2.0
-1.0,1.0,7.0,1.0,0.25,14.0,3.0,0.67,14.0,1.0,15.86,13.3,2805.08,0.0,0.07,46.0,0.08,155.84,210.91,0.75,3.0,6.0,12.0,0.25,0.0,19.0,27.0,10.0,14.0,16.0,0.0,14.0,,,0.0,12.0,4.0,0.29,6.0,2.0
-1.0,6.0,35.0,11.0,0.61,79.0,12.0,0.65,62.0,2.0,50.27,39.28,77553.76,8.0,0.66,319.0,0.03,4308.54,1974.55,0.67,17.0,33.0,63.0,0.16,0.0,142.0,177.0,47.0,26.0,113.0,1.59,62.0,,,1.0,66.0,18.0,0.29,32.0,2.06
-1.0,2.0,15.0,2.0,0.25,27.0,7.0,0.86,24.0,3.0,10.04,45.0,20327.14,1.0,0.15,95.0,0.02,1129.29,451.71,0.88,7.0,12.0,21.0,0.3,0.0,45.0,50.0,9.0,18.0,27.0,0.0,24.0,,,0.0,24.0,8.0,0.33,10.0,2.4
-1.0,1.0,9.0,3.0,0.6,18.0,1.0,0.0,11.0,0.0,16.12,14.3,3299.03,1.0,0.08,51.0,0.07,183.28,230.7,0.2,4.0,8.0,15.0,0.38,0.0,22.0,29.0,10.0,13.0,13.0,0.0,11.0,,,0.0,16.0,5.0,0.45,8.0,2.0
-1.0,7.0,5.0,2.0,0.67,12.0,1.0,0.0,16.0,1.0,20.48,14.0,4014.18,3.0,0.1,61.0,0.07,223.01,286.73,0.33,2.0,4.0,11.0,0.09,0.0,28.0,33.0,13.0,13.0,32.0,33.33,16.0,,,8.0,8.0,3.0,0.19,4.0,2.0
-1.0,1.0,3.0,2.0,1.0,7.0,1.0,0.0,5.0,3.0,10.99,6.4,449.97,1.0,0.02,19.0,0.16,25.0,70.31,0.5,1.0,2.0,7.0,0.29,0.0,8.0,11.0,5.0,8.0,7.0,0.0,5.0,,,0.0,4.0,2.0,0.4,2.0,2.0
-1.0,10.0,13.0,3.0,0.43,22.0,1.0,0.0,16.0,3.0,40.19,16.19,10535.84,2.0,0.22,124.0,0.06,585.32,650.74,0.14,6.0,11.0,17.0,0.21,2.0,40.0,84.0,21.0,17.0,34.0,30.43,18.0,,,5.0,22.0,7.0,0.39,10.0,2.2
-1.0,1.0,41.0,13.0,0.46,96.0,14.0,0.48,99.0,0.0,42.16,111.54,524548.83,8.0,1.57,687.0,0.01,29141.6,4702.85,0.5,12.0,24.0,70.0,0.26,4.0,290.0,397.0,65.0,50.0,106.0,4.81,103.0,,,1.0,48.0,28.0,0.27,24.0,2.0
-1.0,10.0,3.0,2.0,1.0,9.0,1.0,0.0,26.0,0.0,65.33,14.63,13972.73,5.0,0.32,175.0,0.07,776.26,955.4,0.5,1.0,2.0,9.0,0.05,2.0,78.0,97.0,32.0,12.0,39.0,7.14,28.0,,,0.0,4.0,2.0,0.07,2.0,2.0
-1.0,2.0,3.0,1.0,0.5,5.0,1.0,0.0,16.0,0.0,25.68,12.5,4011.84,0.0,0.11,70.0,0.08,222.88,320.95,0.5,1.0,2.0,5.0,0.11,0.0,25.0,45.0,12.0,12.0,19.0,0.0,16.0,,,0.0,4.0,2.0,0.13,2.0,2.0
-1.0,1.0,3.0,1.0,0.5,5.0,1.0,0.0,7.0,1.0,14.51,4.2,255.97,0.0,0.02,17.0,0.24,14.22,60.94,0.5,1.0,2.0,5.0,0.22,0.0,6.0,11.0,5.0,7.0,9.0,0.0,7.0,,,0.0,4.0,2.0,0.29,2.0,2.0
-1.0,27.0,11.0,4.0,0.67,35.0,1.0,0.0,61.0,1.0,164.89,6.87,7793.81,13.0,0.38,182.0,0.15,432.99,1133.65,0.17,5.0,10.0,31.0,0.04,2.0,80.0,102.0,64.0,11.0,164.0,46.02,63.0,,,50.0,20.0,6.0,0.1,10.0,2.0
-1.0,5.0,15.0,8.0,1.0,42.0,1.0,0.0,39.0,3.0,39.25,24.9,24336.47,5.0,0.33,175.0,0.04,1352.03,977.37,0.13,7.0,14.0,36.0,0.17,0.0,83.0,92.0,30.0,18.0,48.0,7.14,39.0,,,3.0,28.0,8.0,0.21,14.0,2.0
-1.0,1.0,5.0,2.0,0.67,10.0,3.0,1.0,8.0,0.0,11.85,10.21,1236.07,1.0,0.04,28.0,0.1,68.67,121.01,1.0,2.0,4.0,9.0,0.3,0.0,11.0,17.0,7.0,13.0,10.0,0.0,8.0,,,0.0,8.0,3.0,0.38,4.0,2.0
-1.0,1.0,11.0,2.0,0.33,21.0,4.0,0.6,14.0,3.0,16.12,22.73,8332.05,1.0,0.12,74.0,0.04,462.89,366.61,0.67,5.0,10.0,17.0,0.35,0.0,25.0,49.0,11.0,20.0,17.0,6.67,14.0,,,1.0,20.0,6.0,0.43,10.0,2.0
-1.0,5.0,5.0,1.0,0.33,10.0,3.0,1.0,15.0,1.0,26.52,11.5,3507.79,2.0,0.1,59.0,0.09,194.88,305.03,1.0,2.0,3.0,9.0,0.1,0.0,23.0,36.0,18.0,18.0,29.0,34.78,15.0,,,8.0,6.0,3.0,0.2,2.0,3.0
-1.0,1.0,7.0,3.0,0.75,16.0,1.0,0.0,10.0,0.0,11.9,21.72,5615.72,1.0,0.09,55.0,0.05,311.98,258.51,0.25,3.0,6.0,14.0,0.33,0.0,23.0,32.0,9.0,17.0,12.0,0.0,10.0,,,0.0,12.0,4.0,0.4,6.0,2.0
-1.0,16.0,115.0,2.0,0.03,262.0,1.0,0.0,199.0,0.0,129.4,55.52,398853.5,5.0,2.39,1079.0,0.02,22158.53,7184.21,0.02,57.0,106.0,206.0,0.27,0.0,512.0,567.0,83.0,18.0,216.0,0.0,199.0,,,0.0,212.0,58.0,0.29,98.0,2.16
-1.0,8.0,13.0,2.0,0.29,28.0,3.0,0.33,26.0,2.0,22.75,41.68,39528.58,2.0,0.32,177.0,0.02,2196.03,948.29,0.43,6.0,11.0,23.0,0.15,2.0,72.0,105.0,19.0,22.0,46.0,29.73,28.0,,,9.0,22.0,7.0,0.25,10.0,2.2
-1.0,0.0,3.0,1.0,0.5,5.0,1.0,0.0,5.0,0.0,16.21,4.2,286.08,0.0,0.02,19.0,0.24,15.89,68.11,0.5,1.0,2.0,5.0,0.33,0.0,6.0,13.0,5.0,7.0,6.0,0.0,5.0,,,0.0,4.0,2.0,0.4,2.0,2.0
-1.0,8.0,11.0,2.0,0.33,22.0,4.0,0.6,23.0,2.0,53.64,18.95,19255.97,2.0,0.34,175.0,0.05,1069.78,1016.29,0.67,5.0,9.0,18.0,0.13,2.0,80.0,95.0,38.0,18.0,47.0,39.47,25.0,,,13.0,18.0,6.0,0.24,8.0,2.25
-1.0,6.0,3.0,2.0,1.0,6.0,1.0,0.0,12.0,1.0,19.81,9.82,1909.77,1.0,0.06,43.0,0.1,106.1,194.51,0.5,1.0,2.0,6.0,0.11,0.0,18.0,25.0,11.0,12.0,19.0,0.0,12.0,,,0.0,4.0,2.0,0.17,2.0,2.0
-1.0,1.0,9.0,1.0,0.2,17.0,3.0,0.5,10.0,0.0,8.52,19.25,3158.72,0.0,0.05,42.0,0.05,175.48,164.09,0.6,4.0,7.0,14.0,0.42,0.0,14.0,28.0,4.0,11.0,12.0,0.0,10.0,,,0.0,14.0,5.0,0.5,6.0,2.33
-1.0,25.0,27.0,10.0,0.71,57.0,6.0,0.38,77.0,1.0,83.64,45.0,169364.46,7.0,1.25,555.0,0.02,9409.14,3763.65,0.43,13.0,25.0,45.0,0.13,0.0,240.0,315.0,80.0,30.0,112.0,10.47,77.0,,,9.0,48.0,14.0,0.18,22.0,2.18
-1.0,1.0,5.0,1.0,0.33,9.0,3.0,1.0,15.0,0.0,30.72,25.5,19978.47,1.0,0.26,154.0,0.04,1109.91,783.47,1.0,2.0,3.0,8.0,0.18,0.0,51.0,103.0,17.0,17.0,17.0,0.0,15.0,,,0.0,6.0,3.0,0.2,2.0,3.0
-1.0,1.0,7.0,2.0,0.5,14.0,3.0,0.67,11.0,1.0,24.61,12.71,3973.8,3.0,0.1,62.0,0.08,220.77,312.75,0.75,3.0,5.0,12.0,0.31,0.0,27.0,35.0,17.0,16.0,13.0,0.0,11.0,,,0.0,10.0,4.0,0.36,4.0,2.5
-1.0,16.0,11.0,5.0,0.83,45.0,1.0,0.0,59.0,0.0,66.95,25.45,43359.38,13.0,0.57,268.0,0.04,2408.85,1703.82,0.17,6.0,12.0,41.0,0.06,3.0,123.0,145.0,58.0,24.0,107.0,13.24,62.0,,,6.0,24.0,6.0,0.1,12.0,2.0
-1.0,4.0,3.0,2.0,1.0,6.0,1.0,0.0,7.0,0.0,16.5,6.0,593.95,1.0,0.03,26.0,0.17,33.0,98.99,0.5,1.0,2.0,6.0,0.14,0.0,12.0,14.0,7.0,7.0,14.0,22.22,7.0,,,2.0,4.0,2.0,0.29,2.0,2.0
-1.0,19.0,21.0,8.0,0.73,44.0,3.0,0.2,44.0,1.0,67.22,31.21,65489.41,8.0,0.7,324.0,0.03,3638.3,2098.14,0.27,10.0,18.0,35.0,0.16,0.0,136.0,188.0,61.0,28.0,69.0,10.2,44.0,,,5.0,36.0,11.0,0.25,16.0,2.25
-1.0,28.0,13.0,1.0,0.14,15.0,7.0,1.0,13.0,0.0,21.22,17.5,6498.36,0.0,0.12,79.0,0.06,361.02,371.33,1.0,6.0,7.0,10.0,0.11,2.0,35.0,44.0,13.0,13.0,61.0,40.91,15.0,,,7.0,14.0,7.0,0.47,2.0,7.0
-1.0,13.0,71.0,24.0,0.67,150.0,15.0,0.4,84.0,0.0,118.25,29.92,105895.19,16.0,1.18,516.0,0.03,5883.07,3538.72,0.42,35.0,65.0,116.0,0.29,4.0,242.0,274.0,93.0,23.0,124.0,5.62,88.0,,,1.0,126.0,36.0,0.41,56.0,2.25
-1.0,6.0,17.0,2.0,0.22,36.0,5.0,0.5,24.0,2.0,32.25,23.09,17192.85,2.0,0.25,139.0,0.04,955.16,744.7,0.56,8.0,16.0,29.0,0.26,3.0,59.0,80.0,23.0,18.0,34.0,11.11,27.0,,,0.0,32.0,9.0,0.33,16.0,2.0
-1.0,22.0,19.0,7.0,0.7,42.0,5.0,0.44,50.0,0.0,69.97,32.88,75642.93,9.0,0.77,351.0,0.03,4202.39,2300.66,0.5,9.0,16.0,34.0,0.11,0.0,155.0,196.0,66.0,28.0,92.0,27.54,50.0,,,19.0,32.0,10.0,0.2,14.0,2.29
-1.0,7.0,31.0,6.0,0.38,69.0,11.0,0.67,28.0,0.0,34.15,38.26,50005.31,5.0,0.44,217.0,0.03,2778.07,1306.85,0.69,15.0,28.0,55.0,0.29,7.0,95.0,122.0,36.0,29.0,55.0,40.43,35.0,,,12.0,56.0,16.0,0.46,26.0,2.15
-1.0,3.0,37.0,12.0,0.63,88.0,11.0,0.56,46.0,0.0,48.52,36.22,63649.28,7.0,0.59,294.0,0.03,3536.07,1757.32,0.58,18.0,36.0,71.0,0.35,4.0,135.0,159.0,41.0,22.0,54.0,8.0,50.0,,,0.0,72.0,19.0,0.38,36.0,2.0
-1.0,11.0,11.0,3.0,0.5,22.0,1.0,0.0,43.0,1.0,47.47,22.17,23323.93,1.0,0.35,182.0,0.05,1295.77,1052.21,0.17,5.0,10.0,18.0,0.07,1.0,84.0,98.0,36.0,19.0,83.0,39.44,44.0,,,27.0,20.0,6.0,0.14,10.0,2.0
-1.0,0.0,9.0,1.0,0.2,17.0,3.0,0.5,11.0,2.0,16.86,17.14,4949.88,0.0,0.1,63.0,0.06,274.99,288.85,0.6,4.0,8.0,14.0,0.42,0.0,29.0,34.0,11.0,13.0,12.0,0.0,11.0,,,0.0,16.0,5.0,0.45,8.0,2.0
-1.0,1.0,7.0,2.0,0.5,15.0,3.0,0.67,13.0,4.0,15.39,20.17,6258.43,1.0,0.1,61.0,0.05,347.69,310.34,0.75,3.0,6.0,13.0,0.27,0.0,22.0,39.0,12.0,22.0,15.0,0.0,13.0,,,0.0,12.0,4.0,0.31,6.0,2.0
-1.0,4.0,15.0,2.0,0.25,32.0,4.0,0.43,20.0,1.0,15.74,26.13,10742.56,1.0,0.14,83.0,0.04,596.81,411.2,0.5,7.0,13.0,26.0,0.3,1.0,33.0,50.0,12.0,19.0,27.0,9.09,21.0,,,1.0,26.0,8.0,0.38,12.0,2.17
-1.0,2.0,3.0,2.0,1.0,7.0,1.0,0.0,8.0,2.0,11.6,10.0,1160.0,2.0,0.04,29.0,0.1,64.44,116.0,0.5,1.0,2.0,7.0,0.18,0.0,12.0,17.0,6.0,10.0,11.0,0.0,8.0,,,0.0,4.0,2.0,0.25,2.0,2.0
-1.0,3.0,9.0,4.0,0.8,21.0,3.0,0.5,11.0,0.0,15.17,23.86,8637.06,5.0,0.12,77.0,0.04,479.84,361.93,0.6,4.0,8.0,18.0,0.33,0.0,35.0,42.0,11.0,15.0,15.0,0.0,11.0,,,0.0,16.0,5.0,0.45,8.0,2.0
-1.0,0.0,5.0,2.0,0.67,10.0,1.0,0.0,3.0,0.0,15.29,8.89,1208.3,1.0,0.05,32.0,0.11,67.13,135.93,0.33,2.0,4.0,9.0,0.75,0.0,16.0,16.0,9.0,10.0,4.0,0.0,3.0,,,0.0,8.0,3.0,1.0,4.0,2.0
-1.0,20.0,19.0,9.0,0.9,44.0,3.0,0.22,46.0,1.0,79.08,27.5,59806.2,8.0,0.72,335.0,0.04,3322.57,2174.77,0.3,9.0,18.0,36.0,0.14,0.0,143.0,192.0,65.0,25.0,74.0,13.21,46.0,,,7.0,36.0,10.0,0.22,18.0,2.0
-1.0,1.0,11.0,1.0,0.17,19.0,5.0,0.8,11.0,0.0,8.91,22.4,4472.22,0.0,0.07,47.0,0.04,248.46,199.65,0.83,5.0,8.0,15.0,0.46,0.0,16.0,31.0,5.0,14.0,13.0,0.0,11.0,,,0.0,16.0,6.0,0.55,6.0,2.67
-1.0,16.0,110.0,43.0,0.75,247.0,42.0,0.73,135.0,0.0,116.17,59.64,413206.28,19.0,2.31,951.0,0.02,22955.9,6928.42,0.74,52.0,98.0,192.0,0.35,6.0,428.0,523.0,122.0,34.0,161.0,6.25,141.0,,,3.0,196.0,57.0,0.4,92.0,2.13
-1.0,20.0,13.0,6.0,0.86,30.0,3.0,0.33,40.0,1.0,55.34,17.53,16997.52,7.0,0.32,167.0,0.06,944.31,969.83,0.43,6.0,11.0,25.0,0.09,0.0,74.0,93.0,38.0,18.0,77.0,28.57,40.0,,,16.0,22.0,7.0,0.18,10.0,2.2
-1.0,7.0,9.0,3.0,0.6,17.0,3.0,0.5,27.0,0.0,51.99,14.53,10977.26,1.0,0.25,136.0,0.07,609.85,755.42,0.6,4.0,7.0,14.0,0.1,3.0,62.0,74.0,32.0,15.0,50.0,35.71,30.0,,,12.0,14.0,5.0,0.17,6.0,2.33
-1.0,2.0,9.0,5.0,1.0,20.0,1.0,0.0,24.0,0.0,65.97,11.51,8745.73,2.0,0.25,136.0,0.09,485.87,759.55,0.2,4.0,8.0,17.0,0.12,5.0,62.0,74.0,35.0,13.0,42.0,38.46,29.0,,,10.0,16.0,5.0,0.17,8.0,2.0
-1.0,14.0,13.0,4.0,0.57,29.0,5.0,0.67,28.0,0.0,20.59,32.08,21196.67,3.0,0.22,125.0,0.03,1177.59,660.68,0.71,6.0,12.0,24.0,0.11,3.0,55.0,70.0,18.0,21.0,65.0,44.0,31.0,,,19.0,24.0,7.0,0.23,12.0,2.0
-1.0,1.0,5.0,3.0,1.0,8.0,3.0,1.0,7.0,0.0,19.38,5.06,496.63,2.0,0.03,24.0,0.2,27.59,98.1,1.0,2.0,3.0,7.0,0.3,0.0,9.0,15.0,8.0,9.0,10.0,12.5,7.0,,,1.0,6.0,3.0,0.43,2.0,3.0
-1.0,9.0,11.0,6.0,1.0,22.0,5.0,0.8,21.0,2.0,41.15,14.0,8065.52,5.0,0.19,109.0,0.07,448.08,576.11,0.83,4.0,8.0,18.0,0.16,0.0,50.0,59.0,25.0,14.0,38.0,25.0,21.0,,,7.0,16.0,6.0,0.29,8.0,2.0
-1.0,1.0,3.0,2.0,1.0,6.0,1.0,0.0,9.0,0.0,11.82,10.83,1386.67,1.0,0.04,32.0,0.09,77.04,128.0,0.5,1.0,2.0,6.0,0.18,0.0,13.0,19.0,6.0,10.0,11.0,0.0,9.0,,,0.0,4.0,2.0,0.22,2.0,2.0
-1.0,3.0,3.0,2.0,1.0,7.0,1.0,0.0,9.0,0.0,22.01,7.2,1140.89,2.0,0.05,38.0,0.14,63.38,158.46,0.5,1.0,2.0,7.0,0.14,0.0,18.0,20.0,10.0,8.0,14.0,10.0,9.0,,,1.0,4.0,2.0,0.22,2.0,2.0
-1.0,48.0,15.0,4.0,0.5,51.0,1.0,0.0,76.0,0.0,111.14,26.51,78099.28,7.0,0.98,473.0,0.04,4338.85,2946.23,0.13,7.0,14.0,45.0,0.06,0.0,231.0,242.0,61.0,14.0,138.0,14.61,76.0,,,13.0,28.0,8.0,0.11,14.0,2.0
-1.0,0.0,11.0,1.0,0.13,22.0,1.0,0.0,17.0,2.0,16.16,19.2,5956.4,1.0,0.1,66.0,0.05,330.91,310.23,0.13,2.0,4.0,16.0,0.44,0.0,24.0,42.0,10.0,16.0,18.0,0.0,17.0,,,0.0,8.0,8.0,0.47,4.0,2.0
-1.0,4.0,5.0,1.0,0.33,19.0,1.0,0.0,13.0,0.0,16.59,15.82,4150.16,0.0,0.09,58.0,0.06,230.56,262.37,0.33,2.0,4.0,18.0,0.13,0.0,29.0,29.0,11.0,12.0,24.0,31.58,13.0,,,6.0,8.0,3.0,0.23,4.0,2.0
-1.0,1.0,3.0,2.0,1.0,8.0,1.0,0.0,7.0,0.0,15.23,5.0,380.74,2.0,0.03,20.0,0.2,21.15,76.15,0.5,1.0,2.0,8.0,0.18,0.0,10.0,10.0,7.0,7.0,11.0,22.22,7.0,,,2.0,4.0,2.0,0.29,2.0,2.0
